node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress
Emx1,3,0,1,4,8.208,1,0.2,241.95,4.22446,8.58094,392
Pax4,1,0,1,2,4.51,1,0.25,238.58333,4.18885,1.80604,200
Sox12,130,0.36092,38,49,68.213,1,0.25,314.91667,4.81115,882.09832,53914
Barhl1,1,0,1,1,2.037,1,0.2,212.86667,3.85913,0,0
Nr3c1,281,0.17741,60,72,71.006,3,0.25,327.58333,4.85759,3009.79743,87378
Hoxa5,4,0.30779,2,5,8.783,1,0.2,253.53333,4.32972,11.38204,724
Rfx2,29,0.2782,16,22,38.263,1,0.2,287.11667,4.62229,61.12884,4174
Prop1,1,0,1,1,2.285,1,0.2,221.86667,4.02012,0,0
Phox2a,3,0.30779,2,4,8.492,1,0.2,239.28333,4.19969,4.27345,122
Phox2b,1,0,1,1,2.692,1,0.2,221.86667,4.02012,0,0
Pbx2,3,0,1,3,4.534,1,0.2,240.11667,4.20124,0.53082,48
Nr1h3,26,0.25452,11,25,32.14,1,0.2,284.45,4.58359,173.5485,5228
Six3,8,0.58344,5,32,73.762,1,0.2,258.45,4.3808,35.39276,16528
Rxra,50,0.56562,18,31,46.036,2,0.2,291.11667,4.64396,283.41913,16380
Rxrg,1,0,1,1,1.601,1,0.2,202.36667,3.72291,0,0
Sox1,3,0.30779,2,3,5.908,1,0.2,235.36667,4.14396,2.2749,116
Zfp42,6,0.30779,2,6,10.634,1,0.2,261.45,4.40712,8.72551,472
Lhx3,3,0.30779,2,5,10.246,1,0.2,235.95,4.15325,1.67945,90
Maff,26,0.22992,13,24,29.76,1,0.2,280.78333,4.55728,156.22109,5772
Tlx2,4,0.30779,2,4,6.366,1,0.2,256.95,4.37307,9.87722,782
Hoxb2,2,0,1,2,3.056,1,0.16667,232.86667,4.11455,2.72139,226
Gbx1,2,0,1,3,6.689,1,0.2,253.78333,4.33127,2.42318,230
Bsx,4,0.30898,3,5,9.3,1,0.2,269.61667,4.48607,9.22679,894
Shox2,29,0.30733,12,27,43.169,1,0.2,284.78333,4.59907,99.82882,6424
Rax2,1,0,1,2,4.731,1,0.2,246.61667,4.25851,1.00559,112
Prrx1,1,0,1,2,5.002,1,0.2,246.61667,4.25851,1.00559,112
Msx3,6,0.30898,3,7,9.839,1,0.2,272.7,4.50929,38.06886,1536
Lbx2,3,0,1,4,7.586,1,0.2,259.95,4.39164,6.11549,552
Msx1,69,0.28086,23,31,61.264,1,0.2,307.95,4.79412,83.56387,7610
Isx,28,0.16892,14,30,33.361,6,0.2,302.36667,4.7291,563.60771,14492
En2,15,0.25611,7,14,16.868,1,0.2,289.86667,4.65325,215.94288,5168
Shox,1,0,1,2,5.434,1,0.2,246.61667,4.25851,1.00559,112
Prrx2,50,0.21412,22,32,47.38,1,0.25,312.5,4.82508,443.01125,15554
Zfp57,31,0.25611,7,21,30.689,1,0.2,288.36667,4.62384,103.99698,3456
Lef1,11,0.47549,6,9,15.911,1,0.2,269.45,4.47988,35.99886,2586
E2f4,3,0,1,4,3.763,1,0.2,228.28333,4.09752,4.11485,316
Sox21,13,0.40246,7,11,26.696,1,0.2,272.36667,4.50619,28.60429,1624
Ovol2,2,0,1,2,3.736,1,0.2,226.28333,4.03406,1.65956,64
Ovol1,2,0,1,2,4.483,1,0.2,226.28333,4.03406,1.65956,64
Irf9,44,0.38048,17,37,45.692,1,0.2,278.95,4.5387,238.04288,12104
Tef,769,0.4412,58,101,125.329,1,0.2,330.28333,4.89319,1571.89168,126522
Nr1h2,0,0,1,1,3.485,1,0.16667,214.11667,3.89628,0,0
Zic5,4,0.30779,2,4,5.32,1,0.2,240.53333,4.21207,2.87541,88
Hoxd11,4,0.2842,4,6,12.707,1,0.2,274.95,4.5387,9.01876,838
